emotion_density,mean_value
positive_density,0.08763700706642076
negative_density,0.07585365995824793
trust_density,0.06434398539339992
joy_density,0.04962096087117191
anticipation_density,0.04580229247741281
sadness_density,0.044881348045219385
fear_density,0.03482562736613004
anger_density,0.034632384106075026
disgust_density,0.025643223618943764
surprise_density,0.02383750050973447
