model,rmse,mae,r2
RandomForestRegressor,93.29415097685951,74.27436111111113,0.37969788389391457
RidgeRegression,78.62387088938935,65.04086075740172,0.5594418168322943
ElasticNet,82.02318761616804,67.79628269050843,0.5205230708361213
XGBoostRegressor,110.16559892792763,91.21287027994792,0.13505910968487156
