topic_label,count,avg_num_comments,avg_score
marriage,89957,13.876930088820215,22.32169814466912
breakup,41701,5.965444473753627,7.198244646411357
dating,297769,5.829807669703697,6.345774744852553
family,29812,4.876123708573728,9.679122501006306
confession,4872,4.551724137931035,5.728448275862069
other,685538,3.3668943224153876,3.4176442443744914
