summary,post_length,score,num_comments
count,1149649,1149649,1149649
mean,145.3224853846696,5.964542221147498,4.965606893930234
stddev,280.9499842594958,103.56559258015871,46.596138919663666
min,3,0,0
max,8250,18466,8361
